_respondentid.6,_startdate.6,_enddate.6,_optin.6,_incgen.primary.6,_incgen.primary.emp.6,_incgen.primary.indw.6,_incgen.primary.bus.6,_incgen.primary.rent.6,_incgen.primary.sell.6,_incgen.primary.other.6,_unempreason.6,_unempreason.other.6,_incgen.secondary.6,_incgen.secondary.indw.6,_incgen.secondary.bus.6,_incgen.secondary.rent.6,_incgen.secondary.sell.6,_incgen.secondary.other.6,_service.secondary.care.6,_service.secondary.clean.6,_service.secondary.deliver.6,_service.secondary.maint.6,_service.secondary.personal.6,_service.secondary.it.6,_service.secondary.drive.6,_service.secondary.prof.6,_service.secondary.create.6,_service.secondary.other.6,_emp.direct.6,_emp.service.clean.6,_emp.service.security.6,_emp.service.it.6,_emp.service.warehouse.6,_emp.service.other.6,_emp.hours.6,_emp.underwork.6,_emp.underwork.reason.6,_emp.underwork.other.6,_emp.paytype.6,_emp.annsalary.6,_emp.hourly.6,_emp.earnings.6,_satisfaction.emp.6,_indw.source.online.6,_indw.source.sm.6,_indw.source.class.6,_indw.source.agency.6,_indw.source.network.6,_indw.source.other.6,_indw.service.care.6,_indw.service.clean.6,_indw.service.deliver.6,_indw.service.maint.6,_indw.service.personal.6,_indw.service.it.6,_indw.service.drive.6,_indw.service.prof.6,_indw.service.create.6,_indw.service.other.6,_indw.month.6,_indw.howoften.6,_indw.numgig.6,_indw.hours.6,_indw.underwork.6,_indw.underwork.reason.6,_indw.underwork.other.6,_indw.hourly.6,_indw.busexpense.6,_indw.inc.total.6,_indw.earnings.6,_indw.reason.income.6,_indw.reason.extra.6,_indw.reason.maintskill.6,_indw.reason.newskill.6,_indw.reason.resume.6,_indw.reason.empwork.6,_indw.reason.network.6,_indw.reason.flex.6,_indw.reason.ownproj.6,_indw.reason.location.6,_indw.reason.boss.6,_indw.reason.hobby.6,_indw.reason.other.6,_indw.type.6,_indw.searchtime.6,_indw.concern.findwork.6,_indw.concern.getwork.6,_indw.concern.income.6,_indw.concern.fairpay.6,_indw.concern.latepay.6,_indw.concern.retire.6,_indw.concern.savemoney.6,_indw.concern.benefit.6,_indw.concern.taxrate.6,_indw.concern.debt.6,_indw.concern.taxlegal.6,_indw.concern.career.6,_indw.concern.discrimin.6,_indw.concern.other.6,_indw.benefit.life.6,_indw.benefit.paidsick.6,_indw.benefit.paidfam.6,_indw.benefit.retire.6,_indw.benefit.disability.6,_indw.benefit.unemployment.6,_indw.benefit.workercomp.6,_indw.benefit.health.6,_indw.traininterest.6,_indw.train.clientacq.6,_indw.train.clientmgmt.6,_indw.train.custservice.6,_indw.train.compskill.6,_indw.train.brand.6,_indw.train.timemgmt.6,_indw.train.financiallit.6,_indw.train.taxlegal.6,_indw.train.benioption.6,_indw.train.busowner.6,_indw.train.techskill.6,_indw.train.other.6,_indw.incdescribe.6,_satisfaction.indw.6,_indw.howlong.6,_bus.hours.6,_bus.inc.beforetax.6,_bus.busexpense.6,_bus.inc.aftertax.6,_bus.earnings.6,_satisfaction.bus.6,_rent.service.house.6,_rent.service.car.6,_rent.service.other.6,_rent.source.online.6,_rent.source.social.6,_rent.source.classified.6,_rent.source.personal.6,_rent.source.other.6,_rent.connect.online.6,_rent.connect.social.6,_rent.connect.classified.6,_rent.connect.personal.6,_rent.connect.other.6,_rent.inc.beforetax.6,_rent.busexpense.6,_rent.inc.aftertax.6,_rent.earnings.6,_sell.good.resale.6,_sell.good.handicraft.6,_sell.good.used.6,_sell.good.other.6,_sell.connect.ecomm.6,_sell.connect.social.6,_sell.connect.classified.6,_sell.connect.personal.6,_sell.connect.other.6,_sell.inc.total.6,_sell.busexpense.6,_sell.inc.aftertax.6,_sell.earnings.6,_unempearner.6,_unempearner.month.6,_unempearner.reason.6,_unempearner.reason.other.6,_harass.6,_harass.type.sexual.6,_harass.type.racial.6,_harass.type.undisclose.6,_harass.type.other.6,_emplpreference.6,_emplpreference.other.6,_opinionofinc.6,_finwellbeing.1.expense.6,_finwellbeing.1.securing.6,_finwellbeing.1.notenough.6,_finwellbeing.1.moneymgmt.6,_finwellbeing.1.gettingby.6,_finwellbeing.1.wontlast.6,_finwellbeing.2.gift.6,_finwellbeing.2.leftover.6,_finwellbeing.2.behind.6,_finwellbeing.2.controlife.6,_demo.age.6,_demo.gender.6,_demo.highestedu.6,_demo.hisplatinspanish.6,_demo.race.americanindian.6,_demo.race.asian.6,,_demo.race.nativehawaiian.6,_demo.race.white.6,_demo.race.other.6,_demo.race.undisclose.6,_geo.6,_geo.other.6
101171,2018-11-20 17:17:04,2018-11-20 17:30:51,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Online work platforms - websites or apps such as Uber, Postmates, UpWork and Field Nation, etc.",,,,,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,,,,3 months,Three or four times a month,10,Varied a lot by week,,,,11,No,2500,Best guess,,,,,,I wanted to use this experience to get work as an employee,,,,,,,,Ongoing or repeat work with a consistent set of clients,3-4 weeks,3rd Concern,1st Concern,,,,,,2nd Concern,,,,,,,3,2,,,,,,1,No,,,,,,,,,,,,,It is essential for meeting my basic needs,8,I don’t know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Rarely,Never,Rarely,Rarely,30,Male,High School,No,,,Black or African American,,,,,San Francisco Bay Area,
100951,2019-01-31 16:40:13,2019-01-31 17:11:08,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Online work platforms - websites or apps such as Uber, Postmates, UpWork and Field Nation, etc.",,,Through a staffing or temporary placement (temp) agency,Through your personal networks / word-of-mouth referrals,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,,,,4 months,More than four times a month,22,15-34 hours per week,No,,,22.5,Yes,4000,Best guess,I wanted gig work to be my main source of income,,,I wanted to develop new job skills,I wanted to use this experience to build my resume,I wanted to use this experience to get work as an employee,I wanted to network / meet people,I wanted more flexibility in my schedule,I wanted to choose my own projects,I wanted to choose where I worked,,,,Ongoing or repeat work with a consistent set of clients,4-6 days,2nd Concern,,1st Concern,3rd Concern,,,,,,,,,,,,4,,,,2,3,1,Yes,Client Acquisition,Client Management,,Computer / Internet Skills,Personal Branding,,Financial Literacy / Management / Planning,Taxes and Other Legal Obligations,,Becoming A Business Owner,Technical Skills,,It is essential for meeting my basic needs,7,3 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Other (please specify),He took a break and moved,No,,,,,A small business owner selling products,,I am living comfortably on my current income,Very well,Somewhat,Not at all,Completely,Completely,Somewhat,Sometimes,Always,Never,Always,25,Male,Associate Degree (2-year degree),No,,,Black or African American,,,,,New York City,
100978,2019-01-31 7:07:06,2019-01-31 7:25:37,Yes,Yes,An employee that got paid by an employer,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,Yes,I could only find part-time work,,Hourly Basis,,16,Based on calculations and records,5,,,,Through a staffing or temporary placement (temp) agency,,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,,,,1 month,More than four times a month,1,35-50 hours per week,,,,20,No,460,Based on calculations and records,I wanted gig work to be my main source of income,,,,,,,,,,,,,Ongoing or repeat work with a consistent set of clients,I don’t know,,,2nd Concern,,,,,1st Concern,,,,,3rd Concern,,,,,,2,,,1,Yes,,,,,,,Financial Literacy / Management / Planning,Taxes and Other Legal Obligations,,,,,It is essential for meeting my basic needs,9,3 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,I was looking for paid work but couldn’t find any,,No,,,,,A paid employee of a company or organization,,I am finding it very difficult to live on my current income,Not at all,Not at all,Completely,Somewhat,Completely,Completely,Sometimes,Often,Rarely,Never,30,Male,Master’s Degree,No,,,Black or African American,,,,,New York City,
100573,2019-04-03 15:08:56,2019-04-03 15:22:37,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Hourly Basis,,15,Based on calculations and records,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A paid employee of a company or organization,,I am living comfortably on my current income,Somewhat,Very well,Not at all,Very well,Not at all,Very little,Never,Always,Rarely,Never,21,Male,Some college but no degree,No,,,Black or African American,,,,,New York City,
101200,2018-11-30 9:17:12,2018-11-30 9:35:16,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,"Employed and paid by your employer but you worked by providing services for other companies, for example janitorial services, security services, or warehouse worker",,,IT,,,Varied a lot by week,,,,Hourly Basis,,30,Best guess,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Other (please specify),His job was not offering work that he was qualified to do during that month,Yes,,,,One boss is really mean to everyone,A paid employee of a company or organization,,I am getting by on my current income,Not at all,Completely,Not at all,Completely,Completely,Not at all,Never,Always,Never,Never,26,Male,Associate Degree (2-year degree),No,,,Black or African American,,,,,New York City,
100944,2019-01-28 15:41:27,2019-01-28 16:20:33,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,"Employed and paid by your employer but you worked by providing services for other companies, for example janitorial services, security services, or warehouse worker",,,IT,,,35-50 hours per week,,,,Hourly Basis,,11.5,Best guess,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,,Racial,,,A small business owner selling products,,I am getting by on my current income,Completely,Very little,Very little,Very little,Not at all,Completely,Never,Sometimes,Sometimes,Often,30,Male,Bachelor’s Degree (4-year degree),No,,,Black or African American,,,,,New York City,
101025,2018-11-15 15:42:15,2018-11-15 15:56:08,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,No,,,Hourly Basis,,13,Best guess,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,Other (please specify),Family situation,No,,,,,A small business owner selling products,,I am getting by on my current income,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Never,Sometimes,Rarely,Sometimes,19,Male,Some high school - did not complete,No,,,Black or African American,,,,,New York City,
100075,2019-03-15 17:23:55,2019-03-15 19:00:33,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Online work platforms - websites or apps such as Uber, Postmates, UpWork and Field Nation, etc.",,,,,,,,,,,,,"Professional Services - consulting, advisory services, training, research, etc.",,,3 months,Once or twice a month,4,1-14 hours per week,No,,,60,Yes,1000,Based on calculations and records,,I wanted to earn extra money,,,,,,I wanted more flexibility in my schedule,,,,,,One-off projects with various clients,1-2 weeks,,,2nd Concern,,,,,1st Concern,,,3rd Concern,,,,5,2,3,8,6,4,7,1,No,,,,,,,,,,,,,It is essential for meeting my basic needs,1,I don’t know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A paid employee of a company or organization,,I am finding it difficult to live on my current income,Completely,Completely,Not at all,Completely,Completely,Completely,Never,Always,Never,Never,34,Female,Bachelor’s Degree (4-year degree),No,,,Black or African American,,,,,San Francisco Bay Area,
101210,2018-11-27 10:58:37,2018-11-27 11:08:03,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Salary,35393,,Based on calculations and records,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2.5,I was looking for paid work but couldn’t find any,,No,,,,,"A gig worker, independent contractor, or freelancer providing services",,I am getting by on my current income,Very little,Completely,Completely,Somewhat,Completely,Completely,Always,Sometimes,Rarely,Always,26,Male,Bachelor’s Degree (4-year degree),No,,,Black or African American,,,,,New York City,
100456,2019-04-09 7:07:11,2019-04-09 7:22:11,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,Yes,Other (please specify),Family issues,Hourly Basis,,13,Based on calculations and records,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A small business owner selling products,,I am living comfortably on my current income,Very well,Somewhat,Not at all,Completely,Somewhat,Not at all,Sometimes,Often,Rarely,Never,22,Male,High School,Yes,,,Black or African American,,,Other,,New York City,
100861,2019-03-31 9:21:24,2019-03-31 9:37:12,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Hourly Basis,,15,Based on calculations and records,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,I needed time to attend a training program,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Somewhat,Completely,Not at all,Completely,Very little,Somewhat,Rarely,Sometimes,Never,Rarely,46,Male,Bachelor’s Degree (4-year degree),No,,,Black or African American,,,,,New York City,
100643,2019-02-22 18:00:14,2019-02-22 18:16:51,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Hourly Basis,,40.13,Based on calculations and records,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,I was taking care of children (including pregnancy) or other people,,No,,,,,A small business owner selling products,,I am getting by on my current income,Somewhat,Very well,Not at all,Very well,Somewhat,Not at all,Never,Often,Sometimes,Sometimes,43,Female,Master’s Degree,No,American Indian or Alaska Native,,Black or African American,,,,,San Francisco Bay Area,
100784,2019-05-04 11:23:58,2019-05-04 11:49:30,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Online work platforms - websites or apps such as Uber, Postmates, UpWork and Field Nation, etc.",,,,,Another small Freelance agency that sends opportunities,,,,,,,,"Professional Services - consulting, advisory services, training, research, etc.","Creative Work - writing, editing, music composition, voice-overs, design, performance, etc.",,6 months,More than four times a month,20,Varied a lot by week,,,,25,Yes,1400,Best guess,I wanted gig work to be my main source of income,I wanted to earn extra money,I wanted to maintain my existing job skills,I wanted to develop new job skills,I wanted to use this experience to build my resume,I wanted to use this experience to get work as an employee,I wanted to network / meet people,I wanted more flexibility in my schedule,I wanted to choose my own projects,I wanted to choose where I worked,I wanted to be my own boss,Just for fun as a hobby or to make good use of extra time,,Ongoing or repeat work with a consistent set of clients,4-6 days,,,1st Concern,,,,,,,2nd Concern,3rd Concern,,,,,,,2,,,3,1,No,,,,,,,,,,,,,"It is an important component of my budget, but not essential",5,Less than 6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Other (please specify),Was helping out a friend with his work and that's how she got her job,Yes,Sexual,,,,A small business owner selling products,,I am getting by on my current income,Somewhat,Completely,Somewhat,Somewhat,Very well,Somewhat,Never,Rarely,Sometimes,Rarely,28,Female,Bachelor’s Degree (4-year degree),No,,,Black or African American,,,,,New York City,
100614,2019-03-13 15:56:07,2019-03-13 16:13:56,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,No,,,Hourly Basis,,9.5,Best guess,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,Other (please specify),musical artist,I am getting by on my current income,Somewhat,Somewhat,Not at all,Somewhat,Very well,Not at all,Sometimes,Often,Sometimes,Never,21,Female,High School,Yes,,,Black or African American,,,,,Other (please specify),North Carolina
101456,2018-11-12 22:49:11,2018-11-12 22:58:52,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Through a staffing or temporary placement (temp) agency,,,,,,,,,,,,Food service,1 month,Less than once a month,1,1-14 hours per week,Yes,I needed time to attend a training program,,,No,,Best guess,,,,,,I wanted to use this experience to get work as an employee,,,,,,,,One-off projects with various clients,Less than 24 hours,1st Concern,2nd Concern,,,,,,3rd Concern,,,,,,,8,2,3,7,5,1,6,4,No,,,,,,,,,,,,,It is essential for meeting my basic needs,7,I don’t know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5,I was looking for paid work but couldn’t find any,,Yes,,,I’m not comfortable sharing,Coworker harassment,A paid employee of a company or organization,,I am finding it very difficult to live on my current income,Not at all,Very little,Not at all,Very little,Very well,Completely,Never,Never,Sometimes,Sometimes,40,Female,Associate Degree (2-year degree),No,,,Black or African American,,,,,San Francisco Bay Area,
101008,2018-11-05 11:11:24,2018-11-05 11:37:54,Yes,Yes,An employee that got paid by an employer,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Hourly Basis,,13,Based on calculations and records,7,"Online work platforms - websites or apps such as Uber, Postmates, UpWork and Field Nation, etc.",,"Online classifieds - Craigslist, Monster.com, etc.",,,,,,Delivery Services - delivery of goods via platforms like Postmates and DoorDash,,,,"Driving Services - Uber, Lyft, etc.",,,Moving services,6 months,More than four times a month,50,Varied a lot by week,,,,17,Yes,3500,Best guess,,I wanted to earn extra money,I wanted to maintain my existing job skills,,,,I wanted to network / meet people,I wanted more flexibility in my schedule,I wanted to choose my own projects,I wanted to choose where I worked,I wanted to be my own boss,Just for fun as a hobby or to make good use of extra time,,One-off projects with various clients,Less than 24 hours,,1st Concern,2nd Concern,,3rd Concern,,,,,,,,,,,1,,,,4,2,3,No,,,,,,,,,,,,,"It is an important component of my budget, but not essential",9,3 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Other (please specify),"It took a little time to find the right job-- he wanted to avoid low-wage jobs that do not offer advancement options, like in the fast food industry.",No,,,,,A small business owner selling products,,I am getting by on my current income,Very well,Completely,Not at all,Completely,Not at all,Not at all,Never,Always,Rarely,Never,21,Male,Some college but no degree,No,,,Black or African American,,,,,New York City,
100973,2019-01-29 14:35:57,2019-01-29 14:49:22,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,"Employed and paid by your employer but you worked by providing services for other companies, for example janitorial services, security services, or warehouse worker",,,IT,,,1-14 hours per week,Yes,I could only find part-time work,,Hourly Basis,,18.5,Based on calculations and records,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,I was looking for paid work but couldn’t find any,,No,,,,,A small business owner selling products,,I am finding it very difficult to live on my current income,Not at all,Not at all,Very well,Somewhat,Not at all,Very well,Often,Never,Never,Often,22,Male,Some college but no degree,No,,,Black or African American,,,,,New York City,
100943,2019-01-29 14:51:27,2019-01-30 12:20:56,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Social media platforms - Facebook, LinkedIn, etc.",,,Through your personal networks / word-of-mouth referrals,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,,,,6 months,More than four times a month,2,35-50 hours per week,,,,20-21,Yes,"10-12,000",Best guess,I wanted gig work to be my main source of income,I wanted to earn extra money,,,I wanted to use this experience to build my resume,,,,,,,,,One-off projects with various clients,1-2 weeks,,1st Concern,,2nd Concern,,,,3rd Concern,,,,,,,3,4,,2,,5,,1,Yes,,,,,Personal Branding,,,,,,,,It is essential for meeting my basic needs,10,3 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,"A gig worker, independent contractor, or freelancer providing services",,I am living comfortably on my current income,Somewhat,Very little,Very little,Very well,Very little,Very well,Never,Often,Rarely,Rarely,51,Male,Bachelor’s Degree (4-year degree),No,,,Black or African American,,,,,New York City,
100346,2019-05-18 8:03:22,2019-05-18 8:22:23,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Through your personal networks / word-of-mouth referrals,,,,,,,,,,"Creative Work - writing, editing, music composition, voice-overs, design, performance, etc.",,1 month,Less than once a month,1,1-14 hours per week,Yes,I needed time to attend school,,40,No,500,Best guess,,I wanted to earn extra money,,,I wanted to use this experience to build my resume,,,,,,,,,One-off projects with various clients,I don’t know,1st Concern,,3rd Concern,,,,,,,,2nd Concern,,,,3,4,5,2,6,7,8,1,Yes,,,,,Personal Branding,Time Management,Financial Literacy / Management / Planning,Taxes and Other Legal Obligations,,Becoming A Business Owner,,,"It is nice to have, but I could live comfortably without it",5,3 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5,I needed time to attend school,,No,,,,,A paid employee of a company or organization,,I am finding it very difficult to live on my current income,Not at all,Very little,Somewhat,Not at all,Completely,Completely,Often,Rarely,Often,Often,22,Female,Associate Degree (2-year degree),No,,,Black or African American,,,,,New York City,
100935,2019-02-23 16:01:03,2019-02-23 16:22:20,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Salary,,,Best guess,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A paid employee of a company or organization,,I am living comfortably on my current income,Somewhat,Completely,Not at all,Completely,Completely,Not at all,Never,Always,Never,Never,27,Male,Bachelor’s Degree (4-year degree),No,,,Black or African American,,,,,New York City,
101377,2018-11-06 11:53:34,2018-11-06 12:23:12,Yes,Yes,An employee that got paid by an employer,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,"Employed and paid by your employer but you worked by providing services for other companies, for example janitorial services, security services, or warehouse worker",,,IT,,,15-34 hours per week,Yes,I could only find part-time work,,Hourly Basis,,14.75,Based on calculations and records,7,,,,,Through your personal networks / word-of-mouth referrals,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,,,,2 months,Less than once a month,1,35-50 hours per week,,,,19.5,No,2500,Best guess,I wanted gig work to be my main source of income,,,I wanted to develop new job skills,I wanted to use this experience to build my resume,I wanted to use this experience to get work as an employee,I wanted to network / meet people,,I wanted to choose my own projects,,,,,Ongoing or repeat work with a consistent set of clients,3-4 weeks,2nd Concern,3rd Concern,,,,,,1st Concern,,,,,,"*Getting enough work that is an accessible location close to me, that I have transportation to get to.",,,,,,2,3,1,No,,,,,,,,,,,,,It is essential for meeting my basic needs,7,I don’t know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,"A gig worker, independent contractor, or freelancer providing services",,I am getting by on my current income,Somewhat,Very well,Not at all,Not at all,Completely,Not at all,Never,Always,Rarely,Never,30,Male,Bachelor’s Degree (4-year degree),No,,,Black or African American,,,,,New York City,
100720,2019-02-12 15:08:22,2019-02-12 15:45:56,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Hourly Basis,,15,Based on calculations and records,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Other (please specify),I had a death in the family and was grieving,No,,,,,A small business owner selling products,,I am living comfortably on my current income,Completely,Completely,Somewhat,Somewhat,Not at all,Completely,Sometimes,Sometimes,Often,Often,21,Female,Some college but no degree,No,,,Black or African American,,,,,New York City,
100615,2019-03-13 15:24:07,2019-03-13 15:56:07,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,Babysitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Through your personal networks / word-of-mouth referrals,,"Care Services - child care, elderly care, adult care, or pet care, etc.",,,,,,,,,,6 months,Once or twice a month,12,1-14 hours per week,No,,,15,No,150,Best guess,,,,,,,,,,,,Just for fun as a hobby or to make good use of extra time,,Ongoing or repeat work with a consistent set of clients,I don’t know,1st Concern,2nd Concern,3rd Concern,,,,,,,,,,,None - she said she wasn't concerned with any of these (but the question required me to put an answer),,,,,,,,1,No,,,,,,,,,,,,,"It is nice to have, but I could live comfortably without it",10,3 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A paid employee of a company or organization,,I am living comfortably on my current income,Very well,Very well,Very well,Very well,Very well,Not at all,Never,Always,Never,Never,22,Female,High School,No,,,Black or African American,,,,,New York City,
